epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,3998.94,1.85767,2.12816,1.80445,0.4816,0.29862,0.28557,0.11723,2.16519,2.30032,2.04894,0.000918991,0.000918991,0.000918991
43,4086.7,1.84918,2.09967,1.794,0.41643,0.35689,0.30329,0.12384,2.16425,2.21695,2.04373,0.000897557,0.000897557,0.000897557
44,4173.22,1.85981,2.05829,1.78226,0.39746,0.36577,0.32189,0.12868,2.21295,2.2466,2.05478,0.00087595,0.00087595,0.00087595
45,4259.26,1.8434,2.05505,1.77338,0.44437,0.37128,0.34026,0.14166,2.15108,2.19665,2.02634,0.00085419,0.00085419,0.00085419
46,4347.02,1.84322,2.05269,1.77833,0.45559,0.3361,0.32377,0.13564,2.1529,2.17264,2.02773,0.0008323,0.0008323,0.0008323
47,4433.16,1.83097,2.05166,1.77157,0.48497,0.35555,0.33967,0.1506,2.09174,2.09187,1.97165,0.0008103,0.0008103,0.0008103
48,4519.23,1.81319,1.97677,1.74458,0.43146,0.38338,0.32921,0.14121,2.1502,2.12473,2.00985,0.000788213,0.000788213,0.000788213
49,4653.95,1.81754,2.00791,1.75926,0.43963,0.38551,0.33321,0.14413,2.11359,2.11366,1.97196,0.00076606,0.00076606,0.00076606
50,4743.31,1.81737,2.01327,1.76388,0.43654,0.3498,0.321,0.1335,2.12499,2.15387,2.00367,0.000743864,0.000743864,0.000743864
51,4829.08,1.80248,1.97006,1.74466,0.44983,0.37544,0.34566,0.14611,2.12505,2.12715,1.97846,0.000721645,0.000721645,0.000721645
52,4914.83,1.78776,1.94766,1.73551,0.45093,0.3737,0.34709,0.14305,2.13197,2.1132,1.99196,0.000699426,0.000699426,0.000699426
53,5000.86,1.78339,1.92554,1.73351,0.46912,0.39606,0.35472,0.15113,2.10843,2.0742,1.98608,0.00067723,0.00067723,0.00067723
54,5088.32,1.77315,1.94517,1.73052,0.43015,0.39929,0.35446,0.15379,2.09297,2.05916,1.95883,0.000655077,0.000655077,0.000655077
55,5175.15,1.77429,1.89366,1.7142,0.46457,0.38344,0.34553,0.14748,2.14213,2.04749,1.99435,0.00063299,0.00063299,0.00063299
56,5261.61,1.75818,1.89057,1.71274,0.48104,0.38608,0.36434,0.15135,2.1662,2.02414,2.02564,0.00061099,0.00061099,0.00061099
57,5382.1,1.76393,1.86704,1.71331,0.46505,0.41269,0.36862,0.16326,2.12198,2.0166,1.96613,0.0005891,0.0005891,0.0005891
58,5470.27,1.74547,1.8158,1.6893,0.51471,0.39319,0.37364,0.16592,2.07903,2.01271,1.95141,0.00056734,0.00056734,0.00056734
59,5557.39,1.72809,1.83517,1.69233,0.46474,0.4289,0.38051,0.16469,2.06695,2.02801,1.93142,0.000545733,0.000545733,0.000545733
60,5644.92,1.72713,1.81783,1.68157,0.49214,0.42536,0.38917,0.16945,2.10671,1.96477,1.9624,0.000524299,0.000524299,0.000524299
61,5731.94,1.72321,1.79074,1.68298,0.51286,0.40701,0.39264,0.18091,2.05527,1.94707,1.92406,0.00050306,0.00050306,0.00050306
62,5819.11,1.73169,1.77537,1.67883,0.53886,0.41567,0.40164,0.1826,2.05397,1.94603,1.91405,0.000482037,0.000482037,0.000482037
63,5907.29,1.72677,1.76689,1.6739,0.50654,0.44409,0.40831,0.18502,2.06514,1.92995,1.93952,0.00046125,0.00046125,0.00046125
64,6069.93,1.69191,1.74047,1.65897,0.48554,0.43703,0.39112,0.17827,2.04324,1.94552,1.90786,0.00044072,0.00044072,0.00044072
65,6186.7,1.6961,1.72577,1.64589,0.4929,0.43019,0.39318,0.18246,2.05897,1.92262,1.93931,0.000420468,0.000420468,0.000420468
66,6282.56,1.6813,1.68385,1.64019,0.51723,0.43868,0.40965,0.1853,2.02944,1.90362,1.90714,0.000400513,0.000400513,0.000400513
67,6369.98,1.6803,1.6906,1.65301,0.51542,0.43955,0.40851,0.18406,2.0526,1.89685,1.92518,0.000380874,0.000380874,0.000380874
68,6455.77,1.68659,1.68855,1.64748,0.51107,0.43583,0.40748,0.1847,2.03675,1.90169,1.9155,0.000361572,0.000361572,0.000361572
69,6574.89,1.65131,1.65897,1.63226,0.55236,0.41748,0.41881,0.19297,2.01363,1.85231,1.89654,0.000342625,0.000342625,0.000342625
70,6678.35,1.66017,1.65861,1.61854,0.5247,0.42182,0.41028,0.19275,2.0154,1.87973,1.89565,0.000324053,0.000324053,0.000324053
71,6765.46,1.64914,1.6306,1.61774,0.52815,0.42225,0.41096,0.1923,2.02903,1.86294,1.92045,0.000305872,0.000305872,0.000305872
72,6851,1.64309,1.6325,1.61584,0.55574,0.41558,0.41115,0.2022,1.99162,1.80088,1.87694,0.000288102,0.000288102,0.000288102
73,6937.56,1.64119,1.6088,1.61294,0.50833,0.44925,0.41277,0.19549,1.99113,1.80515,1.88864,0.00027076,0.00027076,0.00027076
74,7023.06,1.61801,1.60461,1.60892,0.53536,0.44184,0.42137,0.20116,1.97418,1.80643,1.87574,0.000253863,0.000253863,0.000253863
75,7097.23,1.61833,1.59734,1.59557,0.51133,0.47141,0.42029,0.20345,1.97254,1.78299,1.86792,0.000237427,0.000237427,0.000237427
76,7171.47,1.60941,1.56901,1.59042,0.54207,0.44273,0.43467,0.20745,1.9922,1.80251,1.88956,0.000221469,0.000221469,0.000221469
77,7247.54,1.59708,1.55722,1.58557,0.51239,0.46001,0.43936,0.21021,1.97112,1.80001,1.86677,0.000206005,0.000206005,0.000206005
78,7321.96,1.60324,1.55312,1.59164,0.55202,0.47597,0.44689,0.21104,1.9661,1.76896,1.86029,0.00019105,0.00019105,0.00019105
79,7396.27,1.5864,1.53994,1.57991,0.56119,0.44178,0.43472,0.20516,1.98059,1.76658,1.87393,0.000176619,0.000176619,0.000176619
80,7470.57,1.5859,1.52736,1.58133,0.49842,0.47333,0.43683,0.2088,1.96,1.77312,1.85539,0.000162725,0.000162725,0.000162725
81,7631.82,1.58843,1.53262,1.58289,0.49207,0.48828,0.42673,0.20904,1.94912,1.75916,1.84905,0.000149383,0.000149383,0.000149383
82,7734.12,1.5808,1.51125,1.57255,0.51813,0.489,0.44444,0.21755,1.94532,1.76189,1.85057,0.000136605,0.000136605,0.000136605
83,7831.91,1.57311,1.4843,1.56078,0.54022,0.46809,0.43256,0.21077,1.96331,1.76906,1.86125,0.000124405,0.000124405,0.000124405
84,7935.24,1.56783,1.48481,1.55305,0.53828,0.47309,0.44361,0.21906,1.94873,1.73945,1.84423,0.000112795,0.000112795,0.000112795
85,8039.2,1.57534,1.49302,1.56598,0.52966,0.48837,0.44858,0.21893,1.94315,1.74589,1.83975,0.000101785,0.000101785,0.000101785
86,8148.38,1.56421,1.47585,1.55623,0.55824,0.45874,0.43939,0.21345,1.95703,1.75268,1.85112,9.13871e-05,9.13871e-05,9.13871e-05
87,8242.2,1.55343,1.46233,1.54385,0.53725,0.47477,0.43985,0.21629,1.94582,1.74888,1.8408,8.16111e-05,8.16111e-05,8.16111e-05
88,8316,1.55253,1.4773,1.55022,0.5247,0.4917,0.44316,0.21679,1.93526,1.72726,1.83495,7.24667e-05,7.24667e-05,7.24667e-05
89,8389.83,1.55948,1.45336,1.54892,0.53581,0.48195,0.44497,0.21653,1.94668,1.73366,1.84253,6.3963e-05,6.3963e-05,6.3963e-05
90,8464.1,1.55501,1.45902,1.55051,0.56101,0.45533,0.43527,0.21047,1.9534,1.7467,1.84499,5.61083e-05,5.61083e-05,5.61083e-05
91,8567.61,1.58469,1.40442,1.60466,0.52822,0.47104,0.42879,0.20713,1.97441,1.78877,1.8549,4.89104e-05,4.89104e-05,4.89104e-05
92,8655.98,1.54306,1.35614,1.57847,0.52289,0.48173,0.43561,0.21393,1.95526,1.74851,1.83745,4.23765e-05,4.23765e-05,4.23765e-05
93,8798.63,1.5449,1.32928,1.57023,0.51924,0.48492,0.4453,0.2181,1.9436,1.74483,1.82531,3.65129e-05,3.65129e-05,3.65129e-05
94,8895.01,1.51954,1.32487,1.55546,0.52637,0.4714,0.43676,0.21723,1.92963,1.7465,1.82155,3.13254e-05,3.13254e-05,3.13254e-05
95,8984.44,1.53056,1.32536,1.56311,0.52097,0.46737,0.43112,0.21627,1.93471,1.74261,1.82486,2.68192e-05,2.68192e-05,2.68192e-05
96,9072.56,1.51786,1.31059,1.55774,0.53502,0.47348,0.43331,0.21612,1.92962,1.73831,1.82372,2.29987e-05,2.29987e-05,2.29987e-05
97,9172.74,1.51465,1.31385,1.55874,0.55447,0.45135,0.43368,0.21863,1.92605,1.73224,1.82107,1.98677e-05,1.98677e-05,1.98677e-05
98,9261.3,1.51107,1.28731,1.54202,0.57822,0.44397,0.43651,0.21964,1.92389,1.73103,1.8196,1.74293e-05,1.74293e-05,1.74293e-05
99,9351.72,1.52724,1.30186,1.56147,0.58016,0.4483,0.44139,0.2207,1.92196,1.72905,1.8191,1.56858e-05,1.56858e-05,1.56858e-05
100,9440.02,1.51559,1.3017,1.55471,0.57852,0.44951,0.43934,0.21945,1.92344,1.73137,1.81966,1.4639e-05,1.4639e-05,1.4639e-05
